tarih,ort_izleyici
2016-11-17,160162
2016-11-18,121403
2016-11-19,203652
2016-11-20,222207
2016-11-21,189689
2016-11-22,111045
2016-11-23,117220
2016-11-24,130597
2016-11-25,105269
2016-11-26,122690
2016-11-27,134803
2016-11-28,75245
2016-11-29,69261
2016-11-30,194404
2016-12-01,167733
2016-12-02,171317
2016-12-03,184892
2016-12-04,183841
2016-12-05,53396
2016-12-06,55178
2016-12-07,54360
2016-12-08,53694
2016-12-09,120052
2016-12-10,169718
2016-12-11,190132
2016-12-12,167972
2016-12-13,73447
2016-12-14,58325
2016-12-15,184376
2016-12-16,167791
2016-12-17,185447
2016-12-18,236838
2016-12-19,218402
2016-12-20,67926
2016-12-21,81364
2016-12-22,84236
2016-12-23,72555
2016-12-24,51107
2016-12-25,46936
2016-12-26,61969
2016-12-27,96650
2016-12-28,81898
2016-12-29,111238
2016-12-30,67966
2016-12-31,66383
2017-01-01,81469
2017-01-02,86353
2017-01-03,73731
2017-01-04,74331
2017-01-05,121973
2017-01-06,93191
2017-01-07,163876
2017-01-08,229842
2017-01-09,138408
2017-01-10,78517
2017-01-11,77430
2017-01-12,69930
2017-01-13,88043
2017-01-14,138057
2017-01-15,179309
2017-01-16,67682
2017-01-17,114644
2017-01-18,95439
2017-01-19,72528
2017-01-20,61664
2017-01-21,89354
2017-01-22,739487
2017-01-23,737304
2017-01-24,760787
2017-01-25,736652
2017-01-26,435322
2017-01-27,767327
2017-01-28,865608
2017-01-29,1153507
2017-01-30,92894
2017-01-31,65236
2017-02-01,93175
2017-02-02,104053
2017-02-03,64359
2017-02-04,159270
2017-02-05,154290
2017-02-06,108889
2017-02-07,146560
2017-02-08,145538
2017-02-09,126398
2017-02-10,80702
2017-02-11,94626
2017-02-12,101989
2017-02-13,80622
2017-02-14,70636
2017-02-15,244829
2017-02-16,216829
2017-02-17,256139
2017-02-18,321222
2017-02-19,460579
2017-02-20,373267
2017-02-21,85727
2017-02-22,112744
2017-02-23,102726
2017-02-24,78977
2017-02-25,84355
2017-02-26,135982
2017-02-27,130172
2017-02-28,90653
2017-03-01,310723
2017-03-02,351620
2017-03-03,270396
2017-03-04,237951
2017-03-05,506566
2017-03-06,95280
2017-03-07,113763
2017-03-08,114948
2017-03-09,99285
2017-03-10,98452
2017-03-11,102614
2017-03-12,111481
2017-03-13,79123
2017-03-14,98295
2017-03-15,123856
2017-03-16,140135
2017-03-17,78102
2017-03-18,88786
2017-03-19,70883
