start_date,end_date,tournament_name,tournament_type
2027-11-22,2027-12-12,CS2 Major Championship Winter 2027,Major
2027-11-08,2027-11-14,BLAST Rivals 2027,S-Tier
2027-10-21,2027-10-30,FISSURE Playground #9,S-Tier
2027-10-21,2027-10-24,StarLadder StarSeries Fall 2027,S-Tier
2027-10-08,2027-10-17,PGL October 2027,S-Tier
2027-10-04,2027-10-17,BLAST Open Fall 2027,S-Tier
2027-09-23,2027-10-03,ESL Pro League Season 26,S-Tier
2027-09-03,2027-09-12,PGL September 2027,S-Tier
2027-08-30,2027-09-12,BLAST Bounty Summer 2027,S-Tier
2027-08-18,2027-08-30,FISSURE Playground #8,S-Tier
2027-07-16,2027-08-01,Esports World Cup 2027,S-Tier
2027-07-12,2027-07-19,FISSURE Playground #7,S-Tier
2027-05-31,2027-06-20,FiRe Major Buenos Aires 2027,Major
2027-05-10,2027-05-23,BLAST Open Summer 2027,S-Tier
2027-04-15,2027-04-26,FISSURE Playground #6,S-Tier
2027-04-16,2027-04-25,PGL April 2027,S-Tier
2027-03-19,2027-03-28,BLAST Open Spring 2027,S-Tier
2027-03-18,2027-03-28,PGL Łódź 2027,S-Tier
2027-03-06,2027-03-14,ESL Pro League Season 25,S-Tier
2027-02-11,2027-02-21,PGL Cluj-Napoca 2027,S-Tier
2027-01-27,2027-02-07,Intel Extreme Masters Kraków 2027,S-Tier
2027-01-17,2027-01-24,PGL Bucharest 2027,S-Tier
2027-01-13,2027-01-24,BLAST Bounty Winter 2027,S-Tier
2026-11-25,2026-12-13,PGL Major Singapore 2026,Major
2026-11-16,2026-11-22,YaLLa Compass UAE 2026,S-Tier
2026-11-11,2026-11-15,BLAST Rivals Fall 2026,S-Tier
2026-11-02,2026-11-08,Intel Extreme Masters China 2026,S-Tier
2026-10-24,2026-10-31,PGL Masters Bucharest 2026,S-Tier
2026-10-14,2026-10-18,Thunderpick World Championship 2026,S-Tier
2026-10-13,2026-10-18,Forge of Legends 2026,S-Tier
2026-10-03,2026-10-11,ESL Pro League Season 24,S-Tier
2026-10-01,2026-10-11,PGL Fall 2026,S-Tier
2026-09-17,2026-09-20,StarLadder StarSeries Fall 2026,S-Tier
2026-09-07,2026-09-13,FISSURE Playground #5,S-Tier
2026-09-07,2026-09-13,YaLLa Compass Summer 2026,S-Tier
2026-08-26,2026-09-06,BLAST Open Fall 2026,S-Tier
2026-08-12,2026-08-23,Esports World Cup 2026,S-Tier
2026-08-06,2026-08-16,PGL Summer 2026,S-Tier
2026-07-30,2026-08-02,BLAST Bounty Summer 2026,S-Tier
2026-07-13,2026-07-19,FISSURE Playground #4,S-Tier
2026-06-02,2026-06-21,Intel Extreme Masters Cologne Major 2026,Major
2026-05-20,2026-05-24,CS Asia Championships 2026,S-Tier
2026-05-11,2026-05-17,Intel Extreme Masters Atlanta 2026,S-Tier
2026-05-09,2026-05-17,PGL Astana 2026,S-Tier
